phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
phase4,few_shot,xlmr,English+50Igbo,Igbo,test,0.4947 ± 0.0000,0.5103 ± 0.0000,0.4881 ± 0.0000,0.4851 ± 0.0000,0.5467 ± 0.0000,0.4898 ± 0.0000,0.4188 ± 0.0000,243.9000 ± 0.0000,4698.0000 ± 0.0000,50.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,xlmr,English+50Yoruba,Yoruba,test,0.4358 ± 0.0000,0.4850 ± 0.0000,0.4491 ± 0.0000,0.4132 ± 0.0000,0.3545 ± 0.0000,0.3595 ± 0.0000,0.5255 ± 0.0000,236.5000 ± 0.0000,4698.0000 ± 0.0000,50.0000 ± 0.0000,,,,,,,,,,,0
phase4,monolingual,afroxlmr,English,English,test,0.7622 ± 0.0000,0.7621 ± 0.0000,0.7628 ± 0.0000,0.7609 ± 0.0000,0.7996 ± 0.0000,0.7226 ± 0.0000,0.7606 ± 0.0000,218.7000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,afroxlmr,Hausa,Hausa,test,0.6483 ± 0.0000,0.6466 ± 0.0000,0.6471 ± 0.0000,0.6467 ± 0.0000,0.6898 ± 0.0000,0.6148 ± 0.0000,0.6354 ± 0.0000,233.6000 ± 0.0000,4628.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,afroxlmr,Igbo,Igbo,test,0.6073 ± 0.0000,0.6113 ± 0.0000,0.6091 ± 0.0000,0.6079 ± 0.0000,0.6239 ± 0.0000,0.5792 ± 0.0000,0.6206 ± 0.0000,284.0000 ± 0.0000,4622.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,afroxlmr,Yoruba,Yoruba,test,0.5574 ± 0.0000,0.5613 ± 0.0000,0.5610 ± 0.0000,0.5568 ± 0.0000,0.5651 ± 0.0000,0.5155 ± 0.0000,0.5898 ± 0.0000,300.7000 ± 0.0000,4633.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,mbert,English,English,test,0.7208 ± 0.0000,0.7200 ± 0.0000,0.7225 ± 0.0000,0.7193 ± 0.0000,0.7532 ± 0.0000,0.6572 ± 0.0000,0.7475 ± 0.0000,145.7000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,mbert,Hausa,Hausa,test,0.5734 ± 0.0000,0.5734 ± 0.0000,0.5743 ± 0.0000,0.5735 ± 0.0000,0.5880 ± 0.0000,0.5401 ± 0.0000,0.5924 ± 0.0000,254.8000 ± 0.0000,4628.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,mbert,Igbo,Igbo,test,0.5544 ± 0.0000,0.5596 ± 0.0000,0.5577 ± 0.0000,0.5546 ± 0.0000,0.5600 ± 0.0000,0.5243 ± 0.0000,0.5794 ± 0.0000,246.2000 ± 0.0000,4622.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,mbert,Yoruba,Yoruba,test,0.5672 ± 0.0000,0.5722 ± 0.0000,0.5704 ± 0.0000,0.5667 ± 0.0000,0.5900 ± 0.0000,0.5185 ± 0.0000,0.5915 ± 0.0000,348.5000 ± 0.0000,4633.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,xlmr,English,English,test,0.7389 ± 0.0000,0.7399 ± 0.0000,0.7401 ± 0.0000,0.7365 ± 0.0000,0.7846 ± 0.0000,0.6780 ± 0.0000,0.7467 ± 0.0000,184.2000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,xlmr,Hausa,Hausa,test,0.5454 ± 0.0212,0.5498 ± 0.0212,0.5486 ± 0.0209,0.5447 ± 0.0211,0.5534 ± 0.0275,0.5117 ± 0.0215,0.5691 ± 0.0144,344.3000 ± 84.4000,4628.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,xlmr,Igbo,Igbo,test,0.5302 ± 0.0030,0.5418 ± 0.0061,0.5341 ± 0.0041,0.5296 ± 0.0020,0.5456 ± 0.0019,0.4995 ± 0.0044,0.5439 ± 0.0085,399.0500 ± 128.7500,4622.0000 ± 0.0000,,,,,,,,,,,,0
phase4,monolingual,xlmr,Yoruba,Yoruba,test,0.4875 ± 0.0268,0.4822 ± 0.0372,0.4904 ± 0.0278,0.4678 ± 0.0434,0.5351 ± 0.0063,0.3220 ± 0.1197,0.5462 ± 0.0041,468.8500 ± 90.1500,4633.0000 ± 0.0000,,,,,,,,,,,,0
phase4,multilingual_joint,afroxlmr,all,English,test,0.7540 ± 0.0000,0.7554 ± 0.0000,0.7562 ± 0.0000,0.7537 ± 0.0000,0.7791 ± 0.0000,0.7109 ± 0.0000,0.7710 ± 0.0000,,,,,,,,,,,,,,0
