phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
phase4,few_shot,xlmr,English+100Igbo,Igbo,test,0.4819,0.5092,0.4722,0.4653,0.5517,0.4346,0.4098,247.9,4748.0,100.0,,,,,,,,,,,0
phase4,few_shot,xlmr,English+100Yoruba,Yoruba,test,0.4388,0.4657,0.4502,0.4199,0.4006,0.3306,0.5285,242.9,4748.0,100.0,,,,,,,,,,,0
phase4,few_shot,xlmr,English+500Hausa,Hausa,test,0.5628,0.5638,0.5605,0.5591,0.6035,0.4982,0.5757,259.1,5148.0,500.0,,,,,,,,,,,0
phase4,few_shot,xlmr,English+500Igbo,Igbo,test,0.5023,0.5018,0.5065,0.4939,0.5364,0.3851,0.5602,284.4,5148.0,500.0,,,,,,,,,,,0
phase4,few_shot,xlmr,English+500Yoruba,Yoruba,test,0.4486,0.4743,0.4603,0.4315,0.391,0.3613,0.5422,304.9,5148.0,500.0,,,,,,,,,,,0
phase4,few_shot,xlmr,English+50Hausa,Hausa,test,0.4909,0.533,0.4801,0.454,0.5857,0.3204,0.4558,241.9,4698.0,50.0,,,,,,,,,,,0
phase4,few_shot,xlmr,English+50Igbo,Igbo,test,0.4947,0.5103,0.4881,0.4851,0.5467,0.4898,0.4188,243.9,4698.0,50.0,,,,,,,,,,,0
phase4,few_shot,xlmr,English+50Yoruba,Yoruba,test,0.4358,0.485,0.4491,0.4132,0.3545,0.3595,0.5255,236.5,4698.0,50.0,,,,,,,,,,,0
phase4,monolingual,afroxlmr,English,English,test,0.7622,0.7621,0.7628,0.7609,0.7996,0.7226,0.7606,218.7,4648.0,,,,,,,,,,,,0
phase4,monolingual,afroxlmr,Hausa,Hausa,test,0.6483,0.6466,0.6471,0.6467,0.6898,0.6148,0.6354,233.6,4628.0,,,,,,,,,,,,0
phase4,monolingual,afroxlmr,Igbo,Igbo,test,0.6073,0.6113,0.6091,0.6079,0.6239,0.5792,0.6206,284.0,4622.0,,,,,,,,,,,,0
